City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,midelt,32.6852,-4.7451,17.74,37,7,2.81,MA,1715130916
177,cabedelo,-6.9811,-34.8339,26.37,83,73,3.75,BR,1715130916
178,neryungri,56.6709,124.6491,3.44,98,100,6.34,RU,1715130917
179,zhangjiakou,40.81,114.8794,18.49,36,7,0.63,CN,1715130917
180,wayne,42.2506,-83.2833,17.18,74,100,2.57,US,1715130917
181,al burayqah,30.4062,19.5739,22.03,38,99,4.5,LY,1715130917
182,castillos,-34.1667,-53.8333,20.16,98,87,4.9,UY,1715130917
183,port alfred,-33.5906,26.891,18.99,93,99,2.24,ZA,1715130918
184,kibondo,-3.5864,30.7203,16.22,97,100,0.31,TZ,1715130918
185,bandarbeyla,9.4942,50.8122,28.36,77,64,3.07,SO,1715130918
186,songjianghe,42.1859,127.479,14.28,37,7,1.74,CN,1715130918
187,bukama,-9.2,25.85,21.33,84,100,1.24,CD,1715130918
188,pires do rio,-17.2997,-48.2794,19.04,73,0,2.09,BR,1715130919
189,villa gesell,-37.2639,-56.973,16.7,99,100,4.13,AR,1715130919
190,charters towers,-20.1,146.2667,24.98,59,72,7.57,AU,1715130849
191,arawa,-6.2132,155.5367,29.08,85,100,2.1,PG,1715130919
192,san-pedro,4.7485,-6.6363,27.19,85,100,2.62,CI,1715130919
193,guerrero negro,27.9769,-114.0611,17.39,65,0,9.13,MX,1715130920
194,vadso,70.0744,29.7487,-3.91,80,20,2.57,NO,1715130920
195,hampton bays,40.869,-72.5176,16.77,82,0,2.24,US,1715130920
196,georgetown,5.4112,100.3354,29.96,79,20,2.57,MY,1715130920
197,upanema,-5.6419,-37.2578,24.74,75,100,4.27,BR,1715130920
198,kapuskasing,49.4169,-82.4331,13.0,47,75,4.63,CA,1715130921
199,jwaneng,-24.6004,24.7303,17.43,31,0,3.96,BW,1715130921
200,margaret river,-33.95,115.0667,17.95,56,41,5.41,AU,1715130921
201,cova figueira,14.8905,-24.2934,20.02,60,0,3.0,CV,1715130921
202,sittwe,20.15,92.9,28.13,68,100,2.74,MM,1715130921
203,sibiti,-3.6819,13.3499,22.41,98,81,0.87,CG,1715130922
204,cabo san lucas,22.8909,-109.9124,28.12,25,100,3.6,MX,1715130922
205,xiahu,26.6106,119.9483,20.25,83,97,2.32,CN,1715130922
206,al hazm,16.1641,44.7769,27.23,46,15,1.83,YE,1715130922
207,nuku'alofa,-21.1333,-175.2,28.19,78,75,3.09,TO,1715130922
208,la foa,-21.7108,165.8276,24.49,58,18,7.44,NC,1715130923
209,puerto aysen,-45.4,-72.7,1.27,97,100,1.78,CL,1715130923
210,praia da vitoria,38.7333,-27.0667,19.14,88,75,7.89,PT,1715130923
211,vila velha,-20.3297,-40.2925,24.97,88,75,1.03,BR,1715130923
212,kaohsiung,22.6163,120.3133,28.97,73,75,3.09,TW,1715130924
213,dudinka,69.4058,86.1778,-10.74,94,67,2.24,RU,1715130924
214,albion,42.2431,-84.753,18.47,96,100,1.54,US,1715130722
215,matadi,-5.8167,13.45,25.2,90,70,1.09,CD,1715130924
216,sandnessjoen,66.0217,12.6316,5.29,87,100,10.73,NO,1715130924
217,tucuma,-0.1833,-50.05,24.27,96,100,2.73,BR,1715130924
218,malinyi,-8.9333,36.1333,19.65,96,88,0.87,TZ,1715130925
219,bakchar,57.0186,82.0711,7.9,88,41,3.4,RU,1715130925
220,belmonte,-15.8631,-38.8828,25.49,84,9,2.39,BR,1715130925
221,tadpatri,14.9167,78.0167,27.57,71,95,4.99,IN,1715130925
222,berezivka,47.2043,30.9078,11.1,85,100,8.07,UA,1715130926
223,akureyri,65.6835,-18.0878,3.96,60,75,5.66,IS,1715130926
224,atbasar,51.8,68.3333,9.0,63,0,1.56,KZ,1715130926
225,namibe,-15.1961,12.1522,23.35,63,1,4.15,AO,1715130926
226,yatou,37.15,122.3833,18.94,45,0,0.78,CN,1715130926
227,san rafael,-34.6177,-68.3301,11.33,54,100,5.88,AR,1715130927
228,la passe,45.5549,-0.8967,12.77,90,0,3.35,FR,1715130927
229,opportunity,47.6499,-117.2399,15.47,36,0,2.57,US,1715130927
230,puerto escondido,15.85,-97.0667,27.46,94,40,2.57,MX,1715130927
231,calvi,42.5,8.8333,7.35,71,0,1.54,FR,1715130927
232,port blair,11.6667,92.75,28.02,83,20,1.03,IN,1715130928
233,bol'shoye murashkino,55.7826,44.7754,0.27,98,100,6.23,RU,1715130928
234,college,64.8569,-147.8028,11.18,48,75,1.54,US,1715130716
235,port saint john's,-31.6229,29.5448,22.82,49,0,3.65,ZA,1715130928
236,salinas,36.6777,-121.6555,22.54,68,0,4.12,US,1715130928
237,dawson creek,55.7666,-120.2362,13.8,18,0,7.72,CA,1715130928
238,phek,25.6667,94.5,17.58,80,12,0.64,IN,1715130929
239,biltine,14.5333,20.9167,31.85,14,100,5.59,TD,1715130929
240,fort bragg,35.139,-79.006,26.85,74,0,0.0,US,1715130929
241,colonia,50.9333,6.95,13.36,89,40,1.03,DE,1715130929
242,port lincoln,-34.7333,135.8667,17.1,70,100,5.07,AU,1715130930
243,estreito,-5.7833,-43.25,23.65,79,69,1.3,BR,1715130930
244,labasa,-16.4167,179.3833,26.9,87,100,2.59,FJ,1715130930
245,yeppoon,-23.1333,150.7333,26.25,79,49,9.27,AU,1715130930
246,port macquarie,-31.4333,152.9167,17.72,64,58,2.87,AU,1715130799
247,bogandinskiy,56.8937,65.8938,6.07,67,100,3.14,RU,1715130930
248,mus,39.0,41.75,5.76,91,100,1.22,TR,1715130931
